दोन	NUM
लाडू	NOUN
शिल्लक	ADJ
होते	AUX
.	PUNCT

तो	DET
तेथील	ADJ
हास्यविनोद	NOUN
ऐकून	VERB
त्याची	PRON
बहीणही	NOUN
आली	VERB
.	PUNCT

कुशल	ADJ
प्रश्न	NOUN
झाल्यावर	AUX
राजा	NOUN
म्हणाला	VERB
,	PUNCT
तुमची	PRON
पत्नी	NOUN
फार	ADV
लावण्यवती	ADJ
आहे	AUX
असे	SCONJ
ऐकतो	VERB
.	PUNCT

बहीण	NOUN
घरातून	NOUN
बाहेर	ADP
पडली	VERB
आणि	CCONJ
शहराबाहेर	NOUN
पडल्यावरती	VERB
हरिणी	NOUN
बनली	VERB
.	PUNCT

ती	PRON
कुत्र्याला	NOUN
विचारते	VERB
,	PUNCT
तुला	PRON
जेम्स	PROPN
दिसला	VERB
का	ADV
?	PUNCT

गावातली	NOUN
सगळी	ADJ
जमीन	NOUN
तुम्ही	PRON
या	DET
ना	CCONJ
त्या	DET
मार्गाने	NOUN
आपलीशी	ADJ
केलीत	VERB
.	PUNCT

राग	NOUN
नका	AUX
मानू	VERB
दादा	INTJ
;	PUNCT
परंतु	CCONJ
खरे	ADJ
ते	PRON
मी	PRON
सांगतो	VERB
.	PUNCT
