Welnu	INTJ
,	PUNCT
zij	PRON
hebben	VERB
hun	PRON
inspraak	NOUN
,	PUNCT
medezeggenschap	NOUN
en	CCONJ
democratisering	NOUN
.	PUNCT

sinds	ADP
wanneer	SCONJ
open	VERB
jij	PRON
de	DET
vergadering	NOUN
?	PUNCT

Een	DET
andere	ADJ
bijnaam	NOUN
voor	ADP
de	DET
wedstrijd	NOUN
is	AUX
dan	ADV
ook	ADV
«	PUNCT
la	X
reine	X
des	X
classiques	X
»	PUNCT
of	CCONJ
ook	CCONJ
«	PUNCT
la	X
Pascale	X
»	PUNCT
.	PUNCT

Mario	PROPN
De	PROPN
Clercq	PROPN
(	PUNCT
05/03/66	SYM
)	PUNCT
,	PUNCT
Belgisch	ADJ
ex-veldrijder	NOUN

SPIRIT	PROPN
sloot	VERB
nog	ADV
voor	ADP
de	DET
verkiezingen	NOUN
van	ADP
2003	NUM
een	DET
kartel	NOUN
met	ADP
SP.a	PROPN
,	PUNCT
wat	PRON
voor	ADP
onverdeeldheid	NOUN
zorgde	VERB
in	ADP
de	DET
jonge	ADJ
partij	NOUN
.	PUNCT
