Dat	PRON
kan	AUX
gebeuren	VERB
,	PUNCT
nietwaar	INTJ
?	PUNCT

De	DET
heer	NOUN
Van	PROPN
der	PROPN
Stee	PROPN
wees	VERB
de	DET
gedachte	NOUN
dat	SCONJ
de	DET
Nederlandse	ADJ
politiek	NOUN
zou	AUX
moeten	AUX
polariseren	VERB
tussen	ADP
VVD	PROPN
en	CCONJ
PvdA	PROPN
nog	ADV
eens	ADV
van	ADP
de	DET
hand	NOUN
.	PUNCT

het	DET
fancy	X
advies	NOUN

de	DET
Lamotsite	PROPN
website	NOUN
http://www.lamot-mechelen.be	SYM
/	PUNCT

Er	ADV
zijn	VERB
op	ADP
dit	DET
ogenblik	NOUN
(	PUNCT
2005	NUM
)	PUNCT
zeven	NUM
vakcentrales	NOUN
:	PUNCT
