ja	INTJ
,	PUNCT
maar	CCONJ
zo	ADV
heb	AUX
ik	PRON
het	PRON
nooit	ADV
gezien	VERB
en	CCONJ
gehoord	VERB
.	PUNCT

Voor	ADP
gemeenten	NOUN
met	ADP
een	DET
inwonertal	NOUN
van	ADP
50.000	NUM
tot	ADP
100.000	NUM
moet	AUX
tot	ADP
opheffing	NOUN
van	ADP
een	DET
openbare	ADJ
school	NOUN
worden	AUX
besloten	VERB
als	SCONJ
het	DET
leerlingenaantal	NOUN
beneden	ADP
de	DET
100	NUM
daalt	VERB
.	PUNCT

Een	DET
heren-	X
en	CCONJ
een	DET
dameskleedlokaal	NOUN
,	PUNCT
waarin	ADV
voor	ADP
de	DET
gehandicapte	VERB
eenvoudig	ADJ
te	ADP
openen	VERB
schuifdeuren	NOUN
en	CCONJ
andere	ADJ
speciaal	ADJ
geconstrueerde	VERB
faciliteiten	NOUN
,	PUNCT
zullen	AUX
in	ADP
de	DET
veilinghal	NOUN
worden	AUX
gebouwd	VERB
.	PUNCT

De	DET
lijst	NOUN
Samen	ADV
behaalde	VERB
24,5	NUM
%	SYM
van	ADP
de	DET
meetellende	VERB
neergelegde	VERB
stemmen	NOUN
in	ADP
2000	NUM
,	PUNCT
Vlaams	PROPN
Blok	PROPN
5,7	NUM
%	SYM
en	CCONJ
Agalev	PROPN
5,4	NUM
%	SYM
.	PUNCT
