Se	SCONJ
sim	ADV
,	PUNCT
BINGO	INTJ
!	PUNCT

50	NUM
%	SYM
da	ADP
cocaína	NOUN
vem	VERB
escondida	VERB
em	ADP
cargas	NOUN
marítimas	ADJ
e	CCONJ
aéreas	ADJ
da	ADP
Colômbia	PROPN
para	ADP
Portugal	PROPN
e	CCONJ
Espanha	PROPN
;	PUNCT

«	PUNCT
Foi	AUX
barra	NOUN
pesada	ADJ
,	PUNCT
pelo	ADP
som	NOUN
pareciam	VERB
armas	NOUN
superpotentes	ADJ
,	PUNCT
não	ADV
foi	AUX
um	DET
tiroteio	NOUN
qualquer	DET
»	PUNCT
,	PUNCT
afirmou	VERB
Tatiana	PROPN
Marques	PROPN
Pedrosa	PROPN
,	PUNCT
24	NUM
,	PUNCT
estudante	NOUN
de	ADP
psicologia	NOUN
.	PUNCT

Eu	PRON
piso	VERB
nele	X
e	CCONJ
passo	VERB
pro	ADP
apartamento	NOUN
do	ADP
lado	NOUN
!	PUNCT

Sem	ADP
poder	AUX
fazer	VERB
nenhum	DET
movimento	NOUN
do	ADP
pescoço	NOUN
para	ADP
baixo	NOUN
,	PUNCT
ele	PRON
decide	VERB
o	DET
improvável	NOUN
:	PUNCT
contrata	VERB
Driss	PROPN
,	PUNCT
um	DET
ex	PART
-	PUNCT
presidiário	NOUN
negro	ADJ
interpretado	VERB
por	ADP
Omar	PROPN
Sy	PROPN
,	PUNCT
para	ADP
cuidar	VERB
dele	X
.	PUNCT
