Para	SCONJ
quem	PRON
recebe	VERB
em	ADP
URV	NOUN
,	PUNCT
é	AUX
ótimo	ADJ
.	PUNCT

Socorro	INTJ
!	PUNCT

Desta	ADP
forma	NOUN
podemos	AUX
dizer	VERB
que	CCONJ
num	ADP
certo	ADJ
momento	NOUN
a	DET
economia	NOUN
chegará	VERB
a	ADP
uma	DET
situação	NOUN
onde	ADV
todas	DET
as	DET
variáveis	NOUN
medidas	VERB
em	ADP
unidades	NOUN
de	ADP
eficiência	NOUN
tornar	VERB
-	PUNCT
se	PART
-	PUNCT
ão	PART
constantes	ADJ
no	ADP
tempo	NOUN
,	PUNCT
quando	CCONJ
uma	DET
economia	NOUN
encontra	VERB
-	PUNCT
se	PART
nesta	ADP
situação	NOUN
dizemos	VERB
que	CCONJ
ela	PRON
atingiu	VERB
o	DET
estado	NOUN
estacionário	ADJ
.	PUNCT

Na	ADP
opinião	NOUN
dele	X
,	PUNCT
os	DET
cerca	ADV
de	ADP
5,8	NUM
%	SYM
do	ADP
Produto	PROPN
Interno	PROPN
Bruto	PROPN
(	PUNCT
PIB	PROPN
)	PUNCT
que	PRON
são	AUX
destinados	VERB
à	ADP
educação	NOUN
seriam	VERB
suficientes	ADJ
se	CCONJ
houvesse	VERB
boa	ADJ
gestão	NOUN
.	PUNCT

Com	ADP
a	DET
economia	NOUN
eminentemente	ADV
baseada	ADJ
na	ADP
pecuária	NOUN
,	PUNCT
Oscar	PROPN
acredita	VERB
que	CCONJ
a	DET
cidade	NOUN
tem	VERB
um	DET
potencial	NOUN
agrícola	ADJ
que	PRON
pode	AUX
ser	AUX
explorado	VERB
,	PUNCT
conferindo	VERB
mais	ADV
uma	NUM
força	NOUN
econômica	ADJ
para	ADP
cidade	NOUN
.	PUNCT
