Некоторые	DET
суда	NOUN
``	PUNCT
Колхида	PROPN
&#39;&#39;	PUNCT
продолжают	VERB
работать	VERB
на	ADP
морских	ADJ
пассажирских	ADJ
перевозках	NOUN
в	ADP
зарубежных	ADJ
странах	NOUN
(	PUNCT
в	ADP
Италии	PROPN
по	ADP
Тирренскому	ADJ
морю	NOUN
(	PUNCT
компания	NOUN
Volaviamare	X
(	PUNCT
Alilauro	X
)	PUNCT
``	PUNCT
VETOR	X
Aliscafi	X
&#39;&#39;	PUNCT
и	CCONJ
др	NOUN
.	PUNCT
)	PUNCT
,	PUNCT
в	ADP
Греции	PROPN
по	ADP
Эгейскому	ADJ
и	CCONJ
Ионическому	ADJ
морям	NOUN
(	PUNCT
компании	NOUN
``	PUNCT
Hellenic	X
Seaways	X
&#39;&#39;	PUNCT
,	PUNCT
``	PUNCT
Paxos	X
Island	X
SA	X
&#39;&#39;	PUNCT
,	PUNCT
``	PUNCT
Saronic	X
Dolphins	X
&#39;&#39;	PUNCT
и	CCONJ
др	NOUN
.	PUNCT
)	PUNCT
,	PUNCT
Таиланде	PROPN
(	PUNCT
также	CCONJ
в	ADP
разное	ADJ
время	NOUN
использовались	VERB
на	ADP
транспортных	ADJ
и	CCONJ
туристических	ADJ
линиях	NOUN
в	ADP
Польше	PROPN
,	PUNCT
Хорватии	PROPN
,	PUNCT
Испании	PROPN
,	PUNCT
Танзании	PROPN
,	PUNCT
Вьетнаме	PROPN
)	PUNCT
.	PUNCT

Русский	ADJ
офисный	ADJ
стиль	NOUN
-	PUNCT
это	PRON
компромисс	NOUN
между	ADP
солидным	ADJ
конторским	ADJ
классицизмом	NOUN
и	CCONJ
легким	ADJ
сверкающим	VERB
хайтеком	NOUN
.	PUNCT

Для	ADP
работы	NOUN
в	ADP
офисных	ADJ
приложениях	NOUN
и	CCONJ
веб-серфинга	NOUN
возможности	NOUN
Foleo	PROPN
были	AUX
более	ADV
чем	SCONJ
достаточны	ADJ
.	PUNCT

"	PUNCT
Ёпрст	INTJ
"	PUNCT
,	PUNCT
-	PUNCT
думаешь	VERB
на	ADP
русском	ADJ
.	PUNCT

Мифологический	ADJ
характер	NOUN
тезиса	NOUN
о	ADP
"	PUNCT
голодном	ADJ
экспорте	NOUN
"	PUNCT
виден	ADJ
хотя	PART
бы	PART
из	ADP
того	PRON
,	PUNCT
что	SCONJ
в	ADP
1894	NUM
-	PUNCT
1899	NUM
гг.	NOUN
питейный	ADJ
доход	NOUN
составлял	VERB
порядка	ADP
80	NUM
-	PUNCT
95	NUM
%	SYM
стоимости	NOUN
хлебного	ADJ
экспорта	NOUN
,	PUNCT
а	CCONJ
в	ADP
1900	NUM
-	PUNCT
1913	NUM
гг.	NOUN
лишь	PART
дважды	ADV
цена	NOUN
вывезенного	VERB
хлеба	NOUN
слегка	ADV
превысила	VERB
цену	NOUN
выпитой	VERB
населением	NOUN
водки	NOUN
.	PUNCT

В	ADP
Славянске	PROPN
(	PUNCT
Донецкая	ADJ
область	NOUN
)	PUNCT
преступники	NOUN
избили	VERB
двух	NUM
активистов	NOUN
предвыборного	ADJ
штаба	NOUN
блока	NOUN
Юлии	PROPN
Тимошенко	PROPN
-	PUNCT
Валентина	PROPN
Зубова	PROPN
и	CCONJ
Анатолия	PROPN
Ткаченко	PROPN
.	PUNCT
