Hadi	INTJ
bakalım	VERB
düşelim	VERB
yola	NOUN
.	PUNCT
dedi	VERB
babam	NOUN
.	PUNCT

Şu	DET
ağacı	NOUN
biliyor	VERB
musunuz	AUX
.	PUNCT

Kusursuz	ADJ
bir	NUM
yuvarlaklık	NOUN
,	PUNCT
karanlığın	ADJ
ortasında	ADJ
gecenin	NOUN
güneşiymişçesine	NOUN
pırıl	X
pırıl	X
yanıyordu	VERB
.	PUNCT

Arınç	PROPN
kürsüde	NOUN
önemli	NOUN
açıklamalar	VERB
yaparken	VERB
,	PUNCT
babayla	NOUN
oğlu	NOUN
da	CCONJ
anfide	NOUN
sohbet	NOUN
etti	VERB
.	PUNCT

Bu	DET
küçücük	ADJ
şeye	NOUN
bakmak	VERB
ne	PRON
kadar	ADP
da	CCONJ
zordu	ADV
.	PUNCT
