چاروں	NUM
نے	ADP
جب	PRON
تعلیم	NOUN
سے	ADP
فراغت	NOUN
حاصل	NOUN
کی	VERB
اور	CCONJ
اپنے	PRON
اپنے	PRON
علم	NOUN
مےں	ADP
ماہر	ADJ
ہو	VERB
گئے	AUX
تو	PRON
سوچا	VERB
کہ	SCONJ
چلو	X
اب	PRON
ذرا	INTJ
دنیا	NOUN
کی	ADP
سیر	NOUN
کر	VERB
لیں	AUX
اور	CCONJ
راجہ	NOUN
کے	ADP
دربار	NOUN
مےں	ADP
حاضر	ADJ
ہو	VERB
کر	AUX
اپنی	PRON
تعلیم	NOUN
کے	ADP
بل	NOUN
بوتے	NOUN
پر	ADP
کچھ	DET
پیسے	NOUN
کما	VERB
لیں	AUX
اور	CCONJ
شہرت	NOUN
حاصل	NOUN
کر	VERB
لیں	AUX
,	PUNCT
لہذا	CCONJ
یہ	PRON
شہر	NOUN
کی	ADP
جانب	ADP
روانہ	NOUN
ہو	VERB
گئے	AUX
۔	PUNCT

انھوں	PRON
نے	ADP
اپنی	PRON
بات	NOUN
جاری	ADJ
رکھتے	VERB
ہوئے	AUX
کہا	VERB
کہ	SCONJ
یہ	DET
بات	NOUN
روزِ	NOUN
روشن	ADJ
کی	ADP
طرح	ADP
عیاں	ADJ
ہے	AUX
۔	PUNCT
کہ	SCONJ
انتخابات	NOUN
کے	ADP
دوران	ADP
میڈیا	NOUN
میں	ADP
ملک	NOUN
اور	CCONJ
عوام	NOUN
کو	ADP
درپیش	ADJ
حقیقی	ADJ
مسائل	NOUN
کی	ADP
نشاندہی	NOUN
نہیں	PART
کی	VERB
جاتی	AUX
اور	CCONJ
نہ	PART
ہی	PART
اُنھیں	PRON
مناسب	ADJ
کوریج	NOUN
ملتا	VERB
ہے	AUX
اور	CCONJ
دوسری	ADJ
بڑی	ADJ
لعنت	NOUN
یہ	PRON
ہے	AUX
کہ	SCONJ
پیسے	NOUN
دےکر	VERB
خبریں	NOUN
چھپوانے	VERB
کی	ADP
بیماری	NOUN
نے	ADP
بھی	PART
میڈیا	NOUN
کو	ADP
بری	ADJ
طرح	NOUN
متاثر	ADJ
کیا	VERB
ہے	AUX
۔	PUNCT

دریں	ADP
اثنا	NOUN
بوسان	PROPN
نیشنل	PROPN
یونیورسٹی	PROPN
ہاسپٹل	PROPN
کے	ADP
عہدیداروں	NOUN
نے	ADP
بتایا	VERB
کہ	SCONJ
چھلانگ	NOUN
لگانے	VERB
کے	ADP
بعد	ADV
آنجہانی	ADJ
قائد	NOUN
کے	ADP
سر	NOUN
پر	ADP
شدید	ADJ
چوٹیں	NOUN
آئیں	VERB
جو	PRON
بالآخر	ADV
ان	PRON
کی	ADP
موت	NOUN
کی	ADP
وجہ	ADP
بن	VERB
گئیں	AUX
۔	PUNCT
