他	PRON
到	VERB
了	PART
四十	NUM
歲	NOUN
才	ADV
當選	VERB
議員	NOUN
，	PUNCT
進入	VERB
下	NOUN
議院	NOUN
，	PUNCT
比	ADP
其他	DET
政治	NOUN
家	PART
遲	ADJ
。	PUNCT

1502	NUM
年	NOUN
帕西奥利	PROPN
在	VERB
博洛尼亚	PROPN
大学	NOUN
任教	VERB
，	PUNCT
曾	ADV
与	ADP
希皮奥内	PROPN
·	PUNCT
德尔	PROPN
·	PUNCT
费罗	PROPN
讨论	VERB
过	PART
数学	NOUN
问题	NOUN
。	PUNCT

2009	NUM
年	NOUN
3	NUM
月	NOUN
25	NUM
日	NOUN
，	PUNCT
金融	NOUN
重建	NOUN
基金	NOUN
进行	VERB
庆丰	PROPN
银行	NOUN
第一	NUM
次	NOUN
公开	ADJ
标售	NOUN
，	PUNCT
Good	X
Bank	X
部分	NOUN
因	ADP
无	VERB
人	NOUN
投标	VERB
，	PUNCT
最后	NOUN
宣告	VERB
流标	VERB
。	PUNCT

该墓	NOUN
向	ADP
北	NOUN
偏东	VERB
65	NUM
°	SYM
，	PUNCT
封土	NOUN
直径	NOUN
5	NUM
米	NOUN
，	PUNCT
分	VERB
前后	NOUN
两	NUM
墓室	NOUN
，	PUNCT
平面	NOUN
呈	VERB
“	PUNCT
凸	NOUN
”	PUNCT
字	PART
形	PART
，	PUNCT
为	AUX
长	PART
方形	NOUN
砖室	NOUN
券顶	NOUN
墓	PART
。	PUNCT

这	DET
一	NUM
风格	NOUN
为	VERB
以后	NOUN
的	PART
新	PART
巴比伦	PROPN
王国	NOUN
和	CCONJ
阿契美尼德	PROPN
王朝	NOUN
所	ADV
继承	VERB
。	PUNCT
