Ühe	DET
USAs	PROPN
läbiviidud	ADJ
arvestuse	NOUN
kohaselt	ADP
ulatub	VERB
kuni	ADV
12aastaste	ADJ
laste	NOUN
sissetulek	NOUN
27,5	NUM
miljardi	NUM
dollarini	NOUN
.	PUNCT

Seetõttu	ADV
algas	VERB
augustis	NOUN
1920	NUM
Tšetšeenia	PROPN
ja	CCONJ
Dagestani	PROPN
mägipiirkondades	NOUN
nõukogudevastane	ADJ
ülestõus	NOUN
,	PUNCT
mida	PRON
juhtis	VERB
kuulsa	ADJ
Šamili	PROPN
kauge	ADJ
järeltulija	NOUN
Said	PROPN
Bek	PROPN
.	PUNCT

Madalapalgalised	ADJ
meditsiinitöötajad	NOUN
võtavad	VERB
patsientidelt	NOUN
raha	NOUN
nii	ADV
ravi	NOUN
kui	CCONJ
ka	ADV
ravimite	NOUN
eest	ADP
.	PUNCT

"	PUNCT
On	AUX
normaalne	ADJ
,	PUNCT
et	SCONJ
vangla	NOUN
ehitati	VERB
Emajõe	PROPN
lammile	NOUN
,	PUNCT
kuhu	ADV
ükski	DET
erainvestor	NOUN
ei	AUX
oleks	AUX
tööde	NOUN
kalliduse	NOUN
tõttu	ADP
hoonet	NOUN
püstitanud	VERB
,	PUNCT
"	PUNCT
leiab	VERB
minister	NOUN
.	PUNCT

"	PUNCT
Ei	ADV
,	PUNCT
tõsiselt	ADV
noh	INTJ
,	PUNCT
kuskil	ADV
enne	ADP
Põltsamaad	PROPN
...	PUNCT
"	PUNCT

"	PUNCT
Issand	INTJ
,	PUNCT
see	PRON
ei	AUX
ole	AUX
õiglane	ADJ
!	PUNCT
"	PUNCT
vilksatas	VERB
jõuetu	ADJ
mõte	NOUN
.	PUNCT

Algselt	ADV
tuntigi	VERB
assotsiatsioonireeglite	NOUN
temaatikat	NOUN
rohkem	ADV
ostukorvi	NOUN
analüüsina	NOUN
(	PUNCT
market	X
basket	X
analysis	X
)	PUNCT
.	PUNCT

CH3-(CH2)3-(CH2CH=CH)4-(CH2)3-COOH	SYM
.	PUNCT

Kõige	ADV
sagedamini	ADV
kurdavad	VERB
üliõpilased	NOUN
,	PUNCT
et	SCONJ
päeval	NOUN
vaevab	VERB
neid	PRON
liigne	ADJ
unisus	NOUN
(	PUNCT
67,1	NUM
%	SYM
)	PUNCT
,	PUNCT
küllalt	ADV
sagedane	ADJ
on	AUX
ka	ADV
hommikune	ADJ
liigunisus	NOUN
(	PUNCT
59,0	NUM
%	SYM
)	PUNCT
.	PUNCT

Viimane	ADJ
omakorda	ADV
viitab	VERB
juhtimisoskuste	NOUN
defitsiidile	NOUN
(	PUNCT
Labor	PROPN
Market	PROPN
Policies	PROPN
in	X
Trasition	PROPN
Countries	PROPN
,	PUNCT
1998	NUM
)	PUNCT
