Một	NUM
tậpthể	NOUN
vữngmạnh	ADJ
còn	X
nhờ	VERB
"	PUNCT
đầutàu	NOUN
"	PUNCT
.	PUNCT

À	INTJ
,	PUNCT
mà	CCONJ
chuyện	NOUN
đó	PROPN
cũ	ADJ
hết	X
rồi	X
...	PUNCT
"	PUNCT
.	PUNCT

Không	X
tiềnbạc	NOUN
sứckhỏe	NOUN
vơi	VERB
đi	X
cùng	CCONJ
cả	PART
số	NOUN
tưtrang	NOUN
ítỏi	ADJ
trên	ADP
người	NOUN
cũng	X
được	VERB
đánhđổi	VERB
lấy	X
đồdùng	NOUN
trong	ADP
những	DET
ngày	NOUN
ở	VERB
tù	NOUN
.	PUNCT

thưa	VERB
ông	NOUN
,	PUNCT
một	NUM
vấnđề	NOUN
được	VERB
nhiều	ADJ
nvơnn	NOUN
bănkhoăn	ADJ
là	AUX
tưcáchphápnhân	NOUN
của	ADP
bàcon	NOUN
tại	ADP
nước	NOUN
sởtại	ADJ
để	ADP
bàcon	NOUN
cóthể	X
cưtrú	VERB
và	SCONJ
làmăn	VERB
mộtcách	NOUN
chínhđáng	ADJ
.	PUNCT

xửlý	VERB
nghiêmminh	ADJ
theo	ADP
phápluật	NOUN
và	SCONJ
kỷluật	NOUN
của	ADP
Đảng	NOUN
những	DET
người	NOUN
có	VERB
hànhvi	NOUN
saitrái	ADJ
và	SCONJ
những	DET
người	NOUN
baoche	VERB
.	PUNCT

ông	NOUN
Phong	NOUN
kinhngạc	VERB
:	PUNCT
"	PUNCT
Ô	INTJ
!	PUNCT

Họ	PROPN
quyếtđịnh	VERB
bán	VERB
ngay	PART
hômnay	NOUN
nên	CCONJ
em	NOUN
phải	VERB
sang	VERB
gấp	ADJ
.	PUNCT

Nhưng	CCONJ
...	PUNCT

nơi	NOUN
cưtrú	VERB
là	AUX
địachỉ	NOUN
đầutiên	ADJ
cần	VERB
tìmhiểu	VERB
.	PUNCT
