Kia	PROPN
là	AUX
những	DET
ngôi	NOUN
nhà	NOUN
vách	NOUN
đất	NOUN
.	PUNCT

Riêng	PART
về	ADP
xuấtkhẩu	VERB
laođộng	NOUN
,	PUNCT
anh	NOUN
Luyến	NOUN
có	VERB
cách	NOUN
nghĩ	VERB
riêng	ADJ
:	PUNCT
"	PUNCT
Duhọcsinh	NOUN
đi	VERB
nướcngoài	NOUN
để	ADP
mởmang	VERB
kiếnthức	NOUN
.	PUNCT

Tuynhiên	CCONJ
,	PUNCT
HĐXX	NOUN
vẫn	X
quyếtđịnh	VERB
côngbố	VERB
côngkhai	ADJ
băng	NOUN
ghihình	VERB
và	SCONJ
biênbản	NOUN
cuộc	NOUN
đốichất	VERB
này	PROPN
để	ADP
các	DET
luậtsư	NOUN
,	PUNCT
cửtọa	NOUN
theodõi	VERB
.	PUNCT

làm	VERB
được	X
một	NUM
tháng	NOUN
tám	NUM
ngày	NOUN
,	PUNCT
không	X
thấy	VERB
lươngbổng	NOUN
gì	PART
,	PUNCT
cũng	X
không	X
biết	VERB
ai	PROPN
là	AUX
ông	NOUN
chủ	NOUN
.	PUNCT

Ngoàira	CCONJ
,	PUNCT
bàcon	NOUN
sẽ	X
được	VERB
tạo	VERB
điềukiện	NOUN
giảiquyết	VERB
nhanhchóng	ADJ
,	PUNCT
thỏađáng	ADJ
các	DET
yêucầu	NOUN
liênquan	VERB
đến	ADP
vấnđề	NOUN
quốctịch	NOUN
.	PUNCT

ràsoát	VERB
lại	X
chươngtrình	NOUN
hộinhập	VERB
kinhtế	NOUN
của	ADP
TP	NOUN
.	PUNCT

phú	NOUN
,	PUNCT
bà	NOUN
Nhu	NOUN
và	SCONJ
bà	NOUN
Liễu	NOUN
cómặt	VERB
trước	ADP
cầuthang	NOUN
khutậpthể	NOUN
MaiĐộng	NOUN
lúc	NOUN
7	NUM
g	NOUN
20	NUM
.	PUNCT

NguyễnCaoToản	NOUN
là	AUX
contrai	NOUN
thứ	NOUN
hai	NUM
của	ADP
bà	NOUN
,	PUNCT
vừa	X
lớn	VERB
lên	VERB
đã	X
xungphong	VERB
đi	VERB
bộđội	NOUN
.	PUNCT

Tôi	PROPN
không	X
biết	VERB
ở	ADP
giữa	ADP
thànhphố	NOUN
này	PROPN
có	VERB
mấy	DET
căn	NOUN
nhà	NOUN
giống	ADJ
như	CCONJ
nhà	NOUN
chị	NOUN
KhổngLệHòa	NOUN
.	PUNCT

Mình	PROPN
điên	VERB
hay	CCONJ
con	NOUN
mình	PROPN
điên	VERB
?	PUNCT

Họ	PROPN
đã	X
sống	VERB
vì	ADP
sự	NOUN
bìnhyên	NOUN
của	ADP
nhândân	NOUN
.	PUNCT

-	PUNCT
"	PUNCT
Anh	NOUN
chỉ	X
gọi	VERB
một	NUM
số	NOUN
diđộng	NOUN
X	X
...	PUNCT
và	SCONJ
một	NUM
số	NOUN
cốđịnh	ADJ
Y	X
...	PUNCT
"	PUNCT
.	PUNCT

cứu	VERB
ta	PROPN
chỉ	X
có	VERB
ta	PROPN
thôi	PART
,	PUNCT
trôngcậy	VERB
vào	ADP
người	NOUN
là	AUX
chết	VERB
"	PUNCT
.	PUNCT

cộng	VERB
với	ADP
cảnh	NOUN
sống	NOUN
tùtúng	ADJ
,	PUNCT
buồntẻ	ADJ
;	PUNCT
và	SCONJ
cóthể	X
do	ADP
bạnbè	NOUN
lôikéo	VERB
,	PUNCT
Lan	NOUN
đã	X
quay	VERB
lại	X
nghề	NOUN
cũ	ADJ
.	PUNCT

Thật	PART
may	ADJ
,	PUNCT
taxi	NOUN
nói	VERB
:	PUNCT
khách	NOUN
về	VERB
ngách	NOUN
115	NUM
đường	NOUN
PháoĐàiLáng	NOUN
...	PUNCT
